NTA,GardenCounts,HasGarden,Gender_Female,Age_Over65,Unemployed,Race_Hisp,Race_White,Race_Black,Race_Asian,Race_Other,Income_under10,Income_10to14,Income_15to24,Income_25to34,Income_35to49,Income_50to74,Income_75to99,Income_100to149,Income_150to199,Income_200over,Edu_Other,Edu_Bachelor,Edu_GradProf,Crime_Felony_scaled,Crime_Misdemeanor_scaled,Crime_Violation_scaled,Crime_Total_scaled
St. Albans,3.0,1.0,0.5410976458096877,0.1313477098817413,0.11273757919306435,0.06817266503130377,0.010617654596712187,0.8739794237176436,0.015175923552886904,0.03205433310145353,0.04103836610040084,0.039129604886428714,0.0723420500095438,0.07380543360692245,0.11268053699815485,0.1890946109308392,0.16243557930902844,0.19628427817013425,0.07221479926194567,0.04097474072660177,0.7735739873243318,0.14227059796087074,0.08415541471479747,-0.11246326780483444,-0.1853921070530533,-0.24591349082303066,-0.16809605732062297
Steinway,0.0,0.0,0.503746445546815,0.1277735112808485,0.06284245417033077,0.21137840137819386,0.6232383403557566,0.01755951763216339,0.12424500300961001,0.023578737624276137,0.05401978189196044,0.03494800913010398,0.0773015470453969,0.0894242962211514,0.12122749175754502,0.19974638600050726,0.11894496576211007,0.18194268323611465,0.06746132386507735,0.05498351509003297,0.5388407367280607,0.2993499458288191,0.16180931744312027,-0.1779249948864563,-0.17521084130216846,-0.13588661268895813,-0.17324910775359212
Whitestone,0.0,0.0,0.5109038275972981,0.21013187520102927,0.05654036243822076,0.14252171116114504,0.6156963653908009,0.005467996140238018,0.21132196847861048,0.024991958829205532,0.030376780241572025,0.031638723634396966,0.08067423832702361,0.061474670993329726,0.08788534342888048,0.18505498467640166,0.12556336758608258,0.21425996033892195,0.10888768703803857,0.07418424373535244,0.6390108924806747,0.22579936753338015,0.1351897399859452,-0.21338804052751664,-0.2216024471866844,-0.25525155367414415,-0.22236085590249574
Woodhaven,0.0,0.0,0.5104821636077108,0.10147880485824803,0.08112653660326585,0.5399945877970742,0.15601470845736298,0.03452667101765333,0.2388214132216934,0.030642619506216072,0.05420226275686908,0.03284460863541907,0.09270376356499653,0.08716231817132301,0.11971830985915492,0.190602632186562,0.14176864465481412,0.17120757330870467,0.06349572846917571,0.04629415839298084,0.7787313704991369,0.15851790620213466,0.06275072329872845,-0.15951893852777302,-0.17960555317017038,-0.17033819768139347,-0.17302169991987348
Woodside,0.0,0.0,0.4879655157323531,0.1387466631657258,0.06790588629322616,0.3515163450177235,0.2241696205855324,0.008752352194652313,0.3940090149227605,0.021552667279331323,0.06253900886281362,0.036761952315566095,0.09711646486081638,0.12364249157408565,0.16733241792535264,0.2013481462988391,0.11896142803644988,0.11677693171888652,0.036512295593558855,0.039008862813631265,0.6848904475017235,0.21415939813565926,0.10095015436261727,-0.1780808601021374,-0.18817519543131828,-0.23002059277710785,-0.18894031073040723
Annadale-Huguenot-Prince's Bay-Eltingville,0.0,0.0,0.5097567774757823,0.1724161962506098,0.04752433046813952,0.07056240853021116,0.8866819987455572,0.00505261690710154,0.03177921806397658,0.005923757753153531,0.03726273726273726,0.01838161838161838,0.05534465534465535,0.055544455544455536,0.0973026973026973,0.14255744255744254,0.13106893106893108,0.2262737262737263,0.1137862137862138,0.12247752247752247,0.6628810226155359,0.20801376597836774,0.12910521140609635,-0.2516625151808545,-0.2217641784477625,-0.22170976804421108,-0.23163008987267
Arden Heights,0.0,0.0,0.5060040782418246,0.13771618457820406,0.05545286506469501,0.12661430405558494,0.7794728494826675,0.014878030360244694,0.06532739219092214,0.013707423910580769,0.04551951621770203,0.02495876855415063,0.04507971412864211,0.05530511269928532,0.09807586586036283,0.18405717427157775,0.12380428807036832,0.2395821880153931,0.10544255085211657,0.07817482133040132,0.6631584687534082,0.2192714581742829,0.11757007307230885,-0.26994691886394706,-0.24515574935189877,-0.275209313446463,-0.2559679305748192
Charleston-Richmond Valley-Tottenville,0.0,0.0,0.507864806001452,0.11470517060579173,0.06087773224043716,0.09647495361781076,0.8257239654755183,0.009155440832459468,0.04864080019359523,0.020004839880616278,0.021190094862633974,0.043858568436614516,0.07687569299002095,0.03880744117284711,0.09855858075643713,0.15178021436491315,0.14796106936060122,0.1866453123075028,0.10102254527534804,0.13330048047308118,0.6730243576504891,0.22474640102047014,0.10222924132904088,-0.2279419846444712,-0.18034809108158112,-0.14484767806419063,-0.19270872044394752
Grasmere-Arrochar-Ft. Wadsworth,0.0,0.0,0.5368646200301963,0.13984650226472067,0.07895418068858401,0.1471439355812783,0.6405385002516356,0.05982637141419225,0.12701308505284348,0.025478107700050327,0.0943729052742988,0.0488622331980949,0.06262127359322632,0.06491444699241489,0.11077791497618628,0.1225965778796966,0.1513494443464456,0.2007408714058917,0.07585112012700652,0.0679132122067384,0.6153916294337558,0.22704477067566334,0.15756359989058086,-0.20886798849889046,-0.17956963619790245,-0.09594842940448127,-0.18225792643419902
Great Kills,0.0,0.0,0.512384752992982,0.16347873950736205,0.07568581896166562,0.08781707261134811,0.8447777624879592,0.0020870602265951107,0.05554791064630063,0.009770194027796891,0.032222723464587225,0.032738287040020624,0.0582586840239737,0.062254301733582526,0.07230779145453374,0.14468002835599664,0.1508667912611974,0.24534381645936715,0.1279242121544113,0.07340336405232971,0.6778424250216979,0.19563470378347106,0.12652287119483108,-0.2528029831369216,-0.23968239053501422,-0.24415997885612736,-0.24473428925992874
Grymes Hill-Clifton-Fox Hills,0.0,0.0,0.5355888334257719,0.11457755592530967,0.08560032726528942,0.2754205953041228,0.2883619892771307,0.3051395821778517,0.09636716583471992,0.03471066740617489,0.16925098554533508,0.041130091984231266,0.07109067017082786,0.07371879106438896,0.09842312746386334,0.16727989487516426,0.09789750328515112,0.16268068331143232,0.05256241787122208,0.0659658344283837,0.6697618691028905,0.18586191403324848,0.14437621686386098,-0.1860345343488982,-0.13864426399628488,0.007216120201944627,-0.14174416699345313
Mariner's Harbor-Arlington-Port Ivory-Graniteville,0.0,0.0,0.5254373080518093,0.09867806115636267,0.0573209202123567,0.34630791828014423,0.2307717986380024,0.3022432901588997,0.10144879156095607,0.019228201361997595,0.174601593625498,0.04193227091633466,0.07111553784860558,0.0655378486055777,0.08784860557768924,0.16165338645418326,0.14671314741035854,0.1605577689243028,0.060557768924302785,0.02948207171314741,0.7449273814609141,0.16793037163605296,0.08714224690303289,-0.09975159313777092,-0.017440001163950485,0.22579526044096607,-0.02310579373781282
New Brighton-Silver Lake,0.0,0.0,0.4842116905380745,0.13078582093679147,0.0718768502072232,0.2886136149975115,0.546535420007742,0.09699717967151468,0.04645246916993862,0.02140131615329315,0.08246414602346806,0.017764015645371577,0.06828552803129075,0.08816818774445892,0.10691003911342896,0.1528683181225554,0.09419817470664928,0.19735984354628425,0.09859843546284223,0.09338331160365057,0.6373346479336127,0.18322241393476296,0.17944293813162435,-0.17286932116397416,-0.11748009586549893,-0.015158560481887011,-0.12660987642807534
New Dorp-Midland Beach,0.0,0.0,0.5146081093735368,0.148843524674595,0.05233130041314184,0.14247588725536098,0.7669257421106845,0.0097387395823579,0.07407060586197209,0.006789025189624497,0.05181414774210389,0.05050900548159749,0.07334899504045941,0.07060819629339599,0.0990602975724354,0.1396502218741843,0.14108587836074132,0.18911511354737667,0.116940746541373,0.06786739754633253,0.6921643033087012,0.1939950735636775,0.11384062312762132,-0.18599225343316791,-0.12817840613706705,-0.042342338909636255,-0.1394491455850777
New Springville-Bloomfield-Travis,0.0,0.0,0.5232600777373065,0.16774635148018674,0.06161161937251253,0.14107609944508276,0.6318478500012222,0.05123817439558022,0.15183220475713202,0.024005671400982715,0.06354515050167224,0.04122437109204595,0.06499927293878145,0.0661625708884688,0.0912461829286026,0.16693325578013668,0.13094372546168387,0.18547331685327906,0.10506034608114004,0.08441180747418932,0.6963409114646799,0.18117884622079866,0.12248024231452148,-0.21716412155685483,-0.17923770610847725,-0.1546830252405332,-0.18948303451844198
Oakwood-Oakwood Beach,0.0,0.0,0.5473372781065089,0.2107381899311281,0.06480648064806481,0.12125327383839365,0.8221941992433796,0.026384712387234454,0.02172858667184014,0.008439227859152196,0.05421309628145737,0.040691123074996866,0.10441968198322274,0.07073995242268688,0.07649931138099411,0.15024414673845002,0.12482784524852884,0.19932390133967695,0.09302616752222362,0.08601477400776261,0.6938012944551945,0.16914659371455262,0.1370521118302529,-0.24637193217812706,-0.2369493330105432,-0.23382048133983355,-0.24021454850490465
Old Town-Dongan Hills-South Beach,0.0,0.0,0.5277410037308942,0.14983752557467805,0.06089285714285714,0.15922493681550126,0.6945079632526979,0.04440967625466362,0.08496810687206642,0.016889316805070807,0.08258381030253475,0.043920102791729934,0.0916948954561383,0.0916948954561383,0.08900829342366548,0.17170891251022075,0.10863216913911926,0.1953042868823736,0.07814507650975354,0.04730755752832613,0.7293284216491924,0.16095211107962595,0.10971946727118163,-0.22965426092329314,-0.21476722010700083,-0.17207486359739446,-0.21642136786768462
Port Richmond,0.0,0.0,0.4895773470560577,0.12277310485345595,0.04483317886932345,0.34867561778381484,0.4018076380544381,0.151925186771851,0.06284938091008829,0.03474217647980774,0.13081761006289308,0.029874213836477988,0.07720125786163523,0.10172955974842768,0.09984276729559748,0.1268867924528302,0.13223270440251572,0.15188679245283018,0.10424528301886793,0.045283018867924525,0.7808484285493109,0.13701811425917326,0.08213345719151571,-0.06078326971403449,-0.038798999196450516,0.21351238637697698,-0.024958082748357514
Rossville-Woodrow,0.0,0.0,0.5106790671589475,0.14011309996728513,0.04085205719288007,0.09300369210637004,0.8435762022713464,0.0008412394260877693,0.04617469738748423,0.0164041688087115,0.0367182246133154,0.03470073974445192,0.08258238063214526,0.04465366509751177,0.06563550773369199,0.12925353059852052,0.14458641560188298,0.22434431741761934,0.124142568930733,0.11338264963012774,0.6761789111515888,0.18289145247250893,0.1409296363759023,-0.2518893115285718,-0.20539298906209177,-0.23693599817290564,-0.22299795006022957
Stapleton-Rosebank,0.0,0.0,0.5080580637787175,0.1234045795709986,0.06647796198948645,0.3242656303577552,0.3655274888558692,0.19358402865089344,0.08766716196136701,0.028955690174115138,0.11291188150692286,0.04883546205860256,0.1278308468391113,0.09563164108618656,0.09820757754642052,0.1388859074809488,0.13255339701620694,0.1426424814854567,0.0615004829880863,0.04100032199205753,0.7415301772492708,0.15935606910477898,0.0991137536459502,-0.08435070801360094,-0.015873725958468345,0.3092252450107126,-0.010475650285324852
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0.0,0.0,0.5178770603544429,0.18750774569339448,0.04998057749579179,0.10295575659933076,0.7060664270665509,0.021687941504523484,0.15432519519147353,0.014964679638121205,0.048091010945445135,0.028871843488752907,0.07506679307075756,0.06636214772041714,0.09644057571317764,0.1487546324226493,0.10893734379039904,0.2075325346893045,0.09609583728346116,0.1238472808756356,0.6368056451959898,0.19693644851770575,0.16625790628630438,-0.19406085877116994,-0.11446300421104401,-0.12093671823136756,-0.14009952120263558
West New Brighton-New Brighton-St. George,3.0,1.0,0.5211152976639035,0.10987189148455162,0.06986502552626057,0.3041446872645064,0.23565938206480785,0.35656367746797285,0.05769404672192916,0.04593820648078373,0.15156534702666888,0.06029484843465298,0.1047705814146099,0.07097896306112307,0.12158356799734968,0.14510518469438466,0.10916017889680303,0.13135663408977968,0.07048202749710121,0.03470266688752692,0.7131068892726924,0.17765304164267895,0.10924006908462867,-0.028181441417163625,0.054252842372918574,0.5148337660409624,0.06663627953423304
Westerleigh,0.0,0.0,0.5046206124901579,0.1579710745514069,0.0701204002034933,0.15573328913016452,0.716630060917492,0.03568024532758692,0.06547594380672164,0.026480460818034894,0.08624682916069262,0.02194772251020183,0.07268115142825632,0.04874820778647844,0.08161464652034851,0.16389103341788905,0.13841402889599647,0.1922355795742804,0.0938568434984008,0.1003639572074556,0.6387767220902613,0.18972684085510688,0.17149643705463186,-0.23742491955034267,-0.2098249908658666,-0.19756414323776725,-0.217938853799259
