GeogName,Population,PopUnder18,PopOver65,MedianAge,PopHispanic,PopNotHisp,PopWhite,PopBlack,PopAsian,PopOTHER,Income0_49,Income_50_99,Income_100_199,Income_200up,EduOther,GardenCounts
Morningside Heights,53707.0,6898.0,6779.0,29.6,11803.0,41904.0,25978.0,5965.0,8025.0,1936.0,8463.0,4228.0,3668.0,2960.0,10350.0,3
Murray Hill-Kips Bay,47774.0,4582.0,7071.0,34.2,5728.0,42046.0,29280.0,1996.0,9145.0,1625.0,7144.0,6348.0,7312.0,5255.0,8657.0,0
park-cemetery-etc-Manhattan,1765.0,6.0,166.0,50.9,358.0,1407.0,386.0,903.0,51.0,67.0,0.0,0.0,0.0,0.0,1539.0,2
SoHo-TriBeCa-Civic Center-Little Italy,42979.0,6582.0,4964.0,36.1,2839.0,40140.0,28050.0,1023.0,9281.0,1786.0,4951.0,3424.0,4327.0,6998.0,7453.0,0
Stuyvesant Town-Cooper Village,21462.0,2220.0,3712.0,35.4,1778.0,19684.0,15874.0,728.0,2456.0,626.0,2722.0,2708.0,3270.0,1780.0,2438.0,0
Turtle Bay-East Midtown,49628.0,4199.0,11385.0,42.3,3207.0,46421.0,36919.0,917.0,7568.0,1017.0,6021.0,6326.0,8104.0,8540.0,6722.0,0
Upper East Side-Carnegie Hill,58593.0,10017.0,16305.0,47.9,4130.0,54463.0,49005.0,602.0,3598.0,1258.0,4763.0,5421.0,6787.0,11883.0,6247.0,0
Upper West Side,134019.0,21240.0,25375.0,43.3,21966.0,112053.0,88180.0,9655.0,10607.0,3611.0,18978.0,14029.0,16222.0,16447.0,25692.0,4
Washington Heights North,73523.0,12544.0,10082.0,37.1,47310.0,26213.0,19079.0,3892.0,2028.0,1214.0,13207.0,7493.0,4059.0,1089.0,30041.0,4
Washington Heights South,92476.0,15216.0,11095.0,34.6,67385.0,25091.0,11476.0,9238.0,3003.0,1374.0,16568.0,7937.0,4113.0,677.0,43749.0,6
West Village,66772.0,5498.0,9849.0,36.5,4032.0,62740.0,53660.0,1339.0,5741.0,2000.0,8368.0,7707.0,10109.0,10722.0,7236.0,2
Yorkville,81278.0,10496.0,13634.0,38.1,8403.0,72875.0,60628.0,2494.0,7253.0,2500.0,11223.0,10948.0,12310.0,9564.0,11677.0,0
Airport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Astoria,77252.0,9783.0,9850.0,35.1,20787.0,56465.0,38563.0,2870.0,12811.0,2221.0,14655.0,10923.0,7321.0,1426.0,28134.0,1
Auburndale,20609.0,3832.0,3494.0,43.3,2732.0,17877.0,7582.0,214.0,9507.0,574.0,2084.0,2395.0,1923.0,535.0,8356.0,0
Baisley Park,39079.0,9205.0,4323.0,35.0,5132.0,33947.0,420.0,27740.0,2109.0,3678.0,4320.0,3905.0,2495.0,251.0,19370.0,3
Bayside-Bayside Hills,44864.0,8320.0,7751.0,42.7,5992.0,38872.0,18640.0,726.0,18741.0,765.0,4608.0,4998.0,4666.0,1401.0,16181.0,0
Bellerose,26916.0,5690.0,3760.0,38.3,5502.0,21414.0,7436.0,1705.0,11256.0,1017.0,2754.0,2530.0,2506.0,402.0,10919.0,0
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28243.0,6245.0,5583.0,45.8,3469.0,24774.0,21974.0,1726.0,667.0,407.0,3392.0,3268.0,3158.0,1007.0,10946.0,1
Briarwood-Jamaica Hills,42224.0,7971.0,5344.0,37.6,11399.0,30825.0,7020.0,4892.0,16617.0,2296.0,5622.0,4804.0,3331.0,512.0,15750.0,1
Cambria Heights,19546.0,3458.0,4010.0,44.4,1015.0,18531.0,227.0,17681.0,138.0,485.0,1713.0,1974.0,1998.0,396.0,8521.0,0
College Point,25875.0,5903.0,3469.0,37.4,9809.0,16066.0,6221.0,556.0,8363.0,926.0,3596.0,2524.0,1442.0,290.0,12679.0,0
Corona,58626.0,15325.0,6196.0,33.9,36037.0,22589.0,3983.0,9504.0,8404.0,698.0,9140.0,5157.0,2148.0,198.0,29462.0,1
Douglas Manor-Douglaston-Little Neck,25738.0,4933.0,5199.0,44.9,3064.0,22674.0,11938.0,409.0,9656.0,671.0,2761.0,3033.0,2912.0,978.0,8258.0,1
East Elmhurst,21760.0,4697.0,2841.0,34.6,13548.0,8212.0,1169.0,4912.0,1725.0,406.0,3123.0,1756.0,1060.0,125.0,11398.0,1
East Flushing,26436.0,4261.0,4164.0,42.0,5053.0,21383.0,3768.0,442.0,16508.0,665.0,4262.0,2185.0,1533.0,366.0,12655.0,0
Elmhurst,83663.0,16419.0,10248.0,37.2,36138.0,47525.0,5013.0,1734.0,38777.0,2001.0,14774.0,7657.0,3679.0,765.0,41206.0,0
Elmhurst-Maspeth,26460.0,4708.0,3303.0,38.3,7178.0,19282.0,3588.0,186.0,15219.0,289.0,3495.0,2850.0,1439.0,287.0,12100.0,0
Far Rockaway-Bayswater,54264.0,16068.0,7144.0,32.7,14516.0,39748.0,14380.0,22400.0,1876.0,1092.0,9376.0,4492.0,2343.0,464.0,22387.0,0
Flushing,70697.0,11375.0,11640.0,42.9,10223.0,60474.0,5479.0,3001.0,50133.0,1861.0,15907.0,6315.0,3074.0,511.0,35387.0,0
Forest Hills,86531.0,15724.0,15633.0,41.8,13127.0,73404.0,46136.0,2404.0,22120.0,2744.0,13965.0,11924.0,10078.0,3291.0,23918.0,0
Fresh Meadows-Utopia,18700.0,3402.0,2900.0,41.8,2331.0,16369.0,5985.0,557.0,8999.0,828.0,2427.0,1964.0,1740.0,529.0,6141.0,0
Ft. Totten-Bay Terrace-Clearview,21945.0,3336.0,5661.0,48.2,3065.0,18880.0,13404.0,143.0,4878.0,455.0,3128.0,3222.0,2762.0,736.0,7670.0,0
Glen Oaks-Floral Park-New Hyde Park,23344.0,3325.0,5758.0,48.8,2168.0,21176.0,10533.0,1149.0,8601.0,893.0,2516.0,2921.0,2923.0,670.0,9110.0,0
Glendale,34029.0,6926.0,4485.0,39.2,11642.0,22387.0,20094.0,505.0,1367.0,421.0,4118.0,4268.0,2919.0,515.0,16841.0,0
Hammels-Arverne-Edgemere,39003.0,11438.0,4240.0,34.2,10607.0,28396.0,6175.0,18830.0,2160.0,1231.0,7693.0,3127.0,1939.0,302.0,17279.0,2
Hollis,21214.0,4302.0,2768.0,37.8,2325.0,18889.0,551.0,12445.0,4132.0,1761.0,2347.0,1874.0,1498.0,311.0,9730.0,0
Hunters Point-Sunnyside-West Maspeth,66926.0,10833.0,6469.0,36.2,22883.0,44043.0,25244.0,1249.0,15707.0,1843.0,10556.0,8530.0,6565.0,2594.0,24415.0,0
Jackson Heights,104125.0,19792.0,14175.0,39.0,58866.0,45259.0,16416.0,1913.0,24998.0,1932.0,17266.0,12552.0,5805.0,1083.0,49098.0,0
Jamaica,55597.0,13430.0,6391.0,35.2,20129.0,35468.0,2000.0,9362.0,17430.0,6676.0,9172.0,4580.0,1904.0,296.0,26763.0,0
