,Address,Latitude,Longitude,NTA
381,87-41 Parsons Boulevard.,40.708898,-73.803938,Briarwood-Jamaica Hills
382,58-74 57th Street,40.718934999999995,-73.91220799999999,Maspeth
383,"80 Underhill Avenue  Broolyn, NY   11328",40.678297,-73.965541,Prospect Heights
384,"230 East 183rd Street, Bronx NY 10458",40.857067,-73.89893599999999,Fordham South
385,130-01 Rockaway Boulevard.,40.674991,-73.808371,South Ozone Park
386,4862 Broadway,40.866706,-73.923948,Marble Hill-Inwood
387,645 Main Street,40.763894,-73.947916,Lenox Hill-Roosevelt Island
388,112 Schermerhorn Street,40.690145,-73.989132,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
389,541-545 E. 139th Street,40.807883000000004,-73.917885,Mott Haven-Port Morris
390,992 Sutter Avenue,40.671292,-73.882217,East New York
391,869 Eagle Avenue,40.822057,-73.90848100000001,Melrose South-Mott Haven North
392,218-220 E. 119th Street,40.799617,-73.937963,East Harlem North
393,1101-1105 Fox Street,40.826640000000005,-73.893877,Morrisania-Melrose
394,314-318 East 4th Street,40.722038,-73.97961,Lower East Side
395,511 E. 149th Street & 511 E. 150th Street,40.81478,-73.914459,Melrose South-Mott Haven North
396,49 Patchen Avenue,40.690708,-73.927603,Stuyvesant Heights
397,50-52 East 117th Street,40.800487,-73.943961,East Harlem North
398,236-238 East 2nd Street,40.72149,-73.98216,Lower East Side
399,1237-1241 Broadway,40.691653,-73.925825,Bushwick South
