,GeoType,NTA,GeoID,Borough,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,GardenCounts,HasGarden,GardenNorm
34,NTA2010,North Side-South Side,BK73,Brooklyn,54330,0.503368305,0.496631695,0.177802319,0.069225106,0.348831217,0.651168783,0.525878888,0.029099945,0,0.070476716,0.000515369,0.003957298,0.021240567,23134,0.085069595,0.058355667,0.068384196,0.078715311,0.097648483,0.120558485,0.111697069,0.15358347,0.094752313,0.131235411,45544,0.750175654,34166,0.058566996,40554,0.444148543,0.35998915,0.195862307,7,1,0.013358779
35,NTA2010,Ocean Hill,BK79,Brooklyn,34025,0.454283615,0.545716385,0.27811903,0.104893461,0.203585599,0.796414401,0.038501102,0.72758266,0.000852314,0.018750918,0,0.00193975,0.008787656,12625,0.166653465,0.091009901,0.12950495,0.10780198,0.139960396,0.17560396,0.084356436,0.062574257,0.025188119,0.017346535,25716,0.58294447,14991,0.102261357,20948,0.811962956,0.138867672,0.049169372,11,1,0.020992366
36,NTA2010,Ocean Parkway South,BK46,Brooklyn,21253,0.494894838,0.505105162,0.324424787,0.13828636,0.081541429,0.918458571,0.825530513,0.010774949,0.014162706,0.05091046,0,0.000235261,0.016844681,6832,0.099824356,0.043325527,0.131733021,0.085772834,0.113144028,0.155444965,0.094115925,0.121340749,0.06001171,0.095286885,15103,0.582268423,8794,0.063566068,12226,0.60518567,0.223131032,0.171683298,0,0,0
37,NTA2010,Park Slope-Gowanus,BK37,Brooklyn,73881,0.481152123,0.518847877,0.196464585,0.090456274,0.166700505,0.833299495,0.669130088,0.044125012,0.001583628,0.070072143,0,0.006077341,0.042311284,31147,0.038430667,0.023084085,0.032426879,0.035380615,0.072976531,0.118213632,0.119465759,0.188685909,0.132051241,0.239284682,60537,0.78580042,47538,0.047183306,55408,0.243466647,0.359731447,0.396801906,11,1,0.020992366
38,NTA2010,park-cemetery-etc-Brooklyn,BK99,Brooklyn,375,0.589333333,0.410666667,0.144,0.013333333,0.226666667,0.773333333,0.578666667,0.061333333,0,0.074666667,0,0.042666667,0.016,165,0,0,0,0.096969697,0.036363636,0.109090909,0.248484848,0.193939394,0.133333333,0.181818182,321,0.965732087,310,0.087096774,300,0.366666667,0.436666667,0.196666667,0,0,0
39,NTA2010,Prospect Heights,BK64,Brooklyn,20493,0.486653979,0.513346021,0.160981799,0.102718001,0.114331723,0.885668277,0.505831259,0.248377495,0.001659103,0.07295174,0,0.004294149,0.052554531,9331,0.056478405,0.032793913,0.066230843,0.063551602,0.089486657,0.130211124,0.108884364,0.190226128,0.106633801,0.155503162,17456,0.769420257,13418,0.055969593,16154,0.322520738,0.327411168,0.350068095,4,1,0.007633588
40,NTA2010,Prospect Lefferts Gardens-Wingate,BK60,Brooklyn,69363,0.447558497,0.552441503,0.218070153,0.14086761,0.105156928,0.894843072,0.146865043,0.70167092,0.000576676,0.021827199,0.001182186,0.004353906,0.018367141,26590,0.108311395,0.066077473,0.114742384,0.120421211,0.137796164,0.175855585,0.11041745,0.099774351,0.038247461,0.028356525,55671,0.640908193,35680,0.104204036,47840,0.727090301,0.167809365,0.105100334,3,1,0.005725191
41,NTA2010,Rugby-Remsen Village,BK96,Brooklyn,55951,0.436310343,0.563689657,0.213275902,0.143589927,0.070007685,0.929992315,0.01760469,0.889188754,0.001787278,0.010866651,0,0.002287716,0.008257225,20761,0.096960647,0.060257213,0.128702856,0.104811907,0.14257502,0.188189394,0.118684071,0.10563075,0.033187226,0.021000915,45536,0.616149859,28038,0.096333547,38231,0.786639115,0.143679213,0.069681672,1,1,0.001908397
42,NTA2010,Seagate-Coney Island,BK21,Brooklyn,29677,0.447383496,0.552616504,0.234693534,0.192640766,0.262021094,0.737978906,0.310543519,0.29790747,0.003066348,0.105401489,0,0.008188159,0.012871921,10981,0.218195064,0.120845096,0.151443402,0.096257171,0.099899827,0.12603588,0.064839268,0.07157818,0.026044987,0.024861124,23598,0.4956776,11697,0.175173121,19796,0.767932916,0.152354011,0.079713073,4,1,0.007633588
43,NTA2010,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,Brooklyn,66293,0.475449897,0.524550103,0.188692622,0.191498348,0.087626145,0.912373855,0.655348227,0.071515846,0.00251912,0.170078289,0.001206764,0.000739143,0.010966467,26198,0.094740056,0.070348882,0.103252157,0.098709825,0.108367051,0.153065119,0.116535613,0.14859913,0.054469807,0.05191236,55175,0.59733575,32922,0.097685438,48693,0.595362783,0.250343992,0.154293225,0,0,0
