,GeoType,GeogName,GeoID,Borough,Population,MalePop,FemalePop,PopUnder18,PopOver65,MedianAge,PopHispanic,PopNotHisp,PopWhite,PopBlack,PopNative,PopAsian,PopPacific,PopOther1,PopOther2,HHUnder10,HHI10t14E,HHI15t24E,HHI25t34E,HHI35t49E,HHI50t74E,HHI75t99E,HI100t149E,HI150t199E,HHI200plE,MedianHHInc,MeanHHInc,PopOver25,EduBelow9,Edu9t12,EduHS,EduCollND,EduAssoc,EduBachelor,EduGradProf,EduLessHS,EduaboveBach
37,NTA2010,Park Slope-Gowanus,BK37,Brooklyn,"73,881","35,548","38,333","14,515","6,683",35.4,"12,316","61,565","49,436","3,260",117.0,"5,177",0.0,449,"3,126","1,197",719,"1,010","1,102","2,273","3,682","3,721","5,877","4,113","7,453","113,781","160,700","55,408","1,761","1,892","4,045","4,014","1,778","19,932","21,986","3,653","41,918"
38,NTA2010,park-cemetery-etc-Brooklyn,BK99,Brooklyn,375,221,154,54,5,35.9,85,290,217,23,0.0,28,0.0,16,6,0,0,0,16,6,18,41,32,22,30,"102,205","135,692",300,6,0,57,35,12,131,59,6,190
39,NTA2010,Prospect Heights,BK64,Brooklyn,"20,493","9,973","10,520","3,299","2,105",36.2,"2,343","18,150","10,366","5,090",34.0,"1,495",0.0,88,"1,077",527,306,618,593,835,"1,215","1,016","1,775",995,"1,451","89,061","117,343","16,154",609,600,"1,877","1,545",579,"5,289","5,655","1,209","10,944"
40,NTA2010,Prospect Lefferts Gardens-Wingate,BK60,Brooklyn,"69,363","31,044","38,319","15,126","9,771",36.0,"7,294","62,069","10,187","48,670",40.0,"1,514",82.0,302,"1,274","2,880","1,757","3,051","3,202","3,664","4,676","2,936","2,653","1,017",754,"43,485","62,975","47,840","3,763","4,425","14,293","8,975","3,328","8,028","5,028","8,188","13,056"
41,NTA2010,Rugby-Remsen Village,BK96,Brooklyn,"55,951","24,412","31,539","11,933","8,034",38.7,"3,917","52,034",985,"49,751",100.0,608,0.0,128,462,"2,013","1,251","2,672","2,176","2,960","3,907","2,464","2,193",689,436,"45,863","59,398","38,231","3,140","3,075","13,600","7,157","3,102","5,493","2,664","6,215","8,157"
42,NTA2010,Seagate-Coney Island,BK21,Brooklyn,"29,677","13,277","16,400","6,965","5,717",39.8,"7,776","21,901","9,216","8,841",91.0,"3,128",0.0,243,382,"2,396","1,327","1,663","1,057","1,097","1,384",712,786,286,273,"26,033","51,426","19,796","2,663","2,869","5,653","2,579","1,438","3,016","1,578","5,532","4,594"
43,NTA2010,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,Brooklyn,"66,293","31,519","34,774","12,509","12,695",43.7,"5,809","60,484","43,445","4,741",167.0,"11,275",80.0,49,727,"2,482","1,843","2,705","2,586","2,839","4,010","3,053","3,893","1,427","1,360","54,371","73,419","48,693","3,649","3,341","12,123","6,084","3,793","12,190","7,513","6,990","19,703"
44,NTA2010,Starrett City,BK93,Brooklyn,"12,388","4,869","7,519","2,213","3,607",48.7,"2,208","10,180","2,759","6,816",117.0,306,0.0,0,182,"1,064","1,258",910,610,979,"1,021",256,222,24,64,"24,601","35,486","9,312",928,"1,392","2,889","1,433",910,"1,043",717,"2,320","1,760"
45,NTA2010,Stuyvesant Heights,BK35,Brooklyn,"67,371","31,122","36,249","15,160","7,490",33.2,"12,114","55,257","6,512","45,035",165.0,"2,263",0.0,175,"1,107","4,005","2,201","2,606","2,670","3,045","3,722","2,447","2,910",918,962,"41,269","60,491","44,592","3,466","5,845","12,834","7,558","2,844","7,859","4,186","9,311","12,045"
46,NTA2010,Sunset Park East,BK34,Brooklyn,"71,850","36,321","35,529","18,795","5,813",32.6,"22,901","48,949","9,109","1,045",22.0,"37,938",14.0,206,615,"1,671","1,731","3,249","2,387","3,164","3,208","2,217","1,506",593,197,"39,200","51,842","46,569","12,609","12,625","9,466","3,372","1,529","4,667","2,301","25,234","6,968"
47,NTA2010,Sunset Park West,BK32,Brooklyn,"57,377","30,420","26,957","12,932","5,085",32.8,"36,494","20,883","9,735","1,817",129.0,"8,447",17.0,113,625,"1,542",993,"2,232","1,767","2,215","2,877","1,647","2,009",646,826,"47,397","66,976","38,812","7,757","7,283","8,752","4,033","1,776","5,556","3,655","15,040","9,211"
48,NTA2010,West Brighton,BK23,Brooklyn,"15,754","6,943","8,811","1,440","5,559",57.8,429,"15,325","14,931",177,0.0,149,8.0,0,60,"1,152",858,"1,016",539,"1,073","1,273",898,843,326,154,"40,910","58,592","13,594",390,359,"2,659","1,705","1,555","3,895","3,031",749,"6,926"
49,NTA2010,Williamsburg,BK72,Brooklyn,"33,767","17,336","16,431","16,185","2,557",19.3,"2,748","31,019","29,533","1,238",20.0,114,11.0,0,103,"1,328","1,433","1,642","1,089",765,858,523,325,120,232,"23,188","43,748","14,001","1,451","2,800","5,541","2,601",468,666,474,"4,251","1,140"
50,NTA2010,Windsor Terrace,BK40,Brooklyn,"22,031","10,214","11,817","4,757","2,591",37.5,"2,881","19,150","14,870","1,055",9.0,"2,580",0.0,122,514,529,285,540,423,712,"1,296","1,206","1,986",802,"1,356","91,219","118,325","16,061",587,761,"1,606","1,974",737,"5,334","5,062","1,348","10,396"
51,NTA2010,Battery Park City-Lower Manhattan,MN25,Manhattan,"45,737","22,214","23,523","6,829","2,735",32.7,"3,960","41,777","29,642","1,100",41.0,"9,687",6.0,228,"1,073","1,348",406,755,487,866,"1,897","2,100","4,424","2,488","7,303","134,266","192,766","33,950",674,344,"1,262","2,161",781,"15,471","13,257","1,018","28,728"
52,NTA2010,Central Harlem North-Polo Grounds,MN03,Manhattan,"85,872","39,882","45,990","18,896","8,238",33.7,"22,264","63,608","7,770","51,362",349.0,"1,745",81.0,196,"2,105","5,534","3,154","4,603","3,853","4,068","5,406","3,027","2,975",932,"1,203","35,748","57,738","57,680","4,562","7,300","14,285","9,486","4,109","10,567","7,371","11,862","17,938"
53,NTA2010,Central Harlem South,MN11,Manhattan,"50,095","23,624","26,471","10,381","4,447",34.8,"9,840","40,255","9,974","26,221",47.0,"2,621",0.0,150,"1,242","2,787","1,489","1,438","1,430","2,106","2,915","1,784","2,419","1,411","1,726","53,590","87,914","35,200","2,056","3,767","7,056","4,990","1,781","8,054","7,496","5,823","15,550"
54,NTA2010,Chinatown,MN27,Manhattan,"44,898","23,477","21,421","5,439","7,621",40.0,"6,604","38,294","7,967","2,467",40.0,"26,336",8.0,324,"1,152","2,566","2,010","2,516","1,513","1,784","2,447","1,750","1,690",677,"1,238","38,854","67,713","35,477","8,705","3,930","7,059","2,562","1,074","8,497","3,650","12,635","12,147"
55,NTA2010,Clinton,MN15,Manhattan,"44,293","24,451","19,842","2,591","5,024",38.7,"8,588","35,705","24,899","2,510",80.0,"7,018",12.0,360,826,"1,922","1,005","1,848","2,397","1,982","3,241","3,027","4,198","2,402","4,426","81,845","118,236","37,316","1,039","1,174","3,370","3,316","1,867","16,000","10,550","2,213","26,550"
56,NTA2010,East Harlem North,MN34,Manhattan,"61,031","27,989","33,042","14,571","7,031",33.4,"29,200","31,831","5,186","21,873",21.0,"3,337",16.0,508,890,"5,034","2,903","3,343","2,564","2,838","3,080","1,518","1,384",730,519,"27,377","46,221","39,697","4,867","6,188","10,461","5,912","1,878","6,324","4,067","11,055","10,391"
57,NTA2010,East Harlem South,MN33,Manhattan,"59,777","27,387","32,390","11,144","7,688",34.5,"25,873","33,904","12,998","13,706",0.0,"5,853",72.0,381,894,"3,854","2,605","3,057","2,228","2,434","3,209","2,279","2,031",691,"1,669","36,766","74,689","41,724","3,963","5,229","8,620","5,098","2,280","9,582","6,952","9,192","16,534"
58,NTA2010,East Village,MN22,Manhattan,"43,022","21,841","21,181","2,203","4,052",32.4,"4,672","38,350","29,218","2,170",47.0,"5,957",37.0,46,875,"2,447",781,"1,961","1,700","1,760","2,641","2,584","3,516","1,905","3,057","73,965","105,620","32,756","1,345",944,"3,246","2,777","1,326","14,335","8,783","2,289","23,118"
59,NTA2010,Gramercy,MN21,Manhattan,"27,886","12,510","15,376","1,694","3,111",33.5,"2,091","25,795","19,804","1,098",174.0,"4,002",0.0,69,648,662,299,752,528,553,"1,575","1,743","2,647","1,650","3,758","116,266","172,590","20,898",193,215,"1,133","1,512",869,"9,464","7,512",408,"16,976"
60,NTA2010,Hamilton Heights,MN04,Manhattan,"52,508","26,649","25,859","9,216","5,447",34.3,"24,053","28,455","8,759","15,524",52.0,"1,863",0.0,115,"2,142","2,615","1,088","1,925","2,436","2,175","3,576","2,068","1,773",941,629,"44,173","62,703","37,497","4,892","4,857","7,845","5,472","1,819","7,147","5,465","9,749","12,612"
61,NTA2010,Hudson Yards-Chelsea-Flat Iron-Union Square,MN13,Manhattan,"77,205","40,160","37,045","8,028","8,915",37.1,"10,838","66,367","48,751","4,429",51.0,"11,102",0.0,349,"1,685","2,924","1,479","2,333","1,862","3,098","4,395","3,507","6,727","4,198","11,601","109,092","184,732","62,879","1,752","1,949","5,103","5,385","1,895","25,043","21,752","3,701","46,795"
62,NTA2010,Lenox Hill-Roosevelt Island,MN31,Manhattan,"82,051","36,408","45,643","11,976","13,644",37.7,"7,412","74,639","59,069","3,197",330.0,"9,810",77.0,41,"2,115","2,216","1,271","1,966","2,205","2,967","5,803","4,581","6,799","4,111","12,005","105,539","170,988","66,066",806,"1,170","4,904","5,282","2,167","25,198","26,539","1,976","51,737"
63,NTA2010,Lincoln Square,MN14,Manhattan,"59,691","27,383","32,308","8,199","10,747",41.5,"6,010","53,681","42,982","2,053",43.0,"7,131",5.0,230,"1,237","1,861",681,"2,034","1,366","1,574","3,517","2,795","4,814","4,083","9,930","121,137","203,752","48,199",568,754,"3,354","3,662","1,070","15,054","23,737","1,322","38,791"
64,NTA2010,Lower East Side,MN28,Manhattan,"72,789","32,967","39,822","11,226","13,063",41.1,"28,805","43,984","15,996","8,007",194.0,"17,591",41.0,774,"1,381","5,397","4,212","4,503","3,040","3,134","3,891","1,679","3,114","1,118","1,928","31,180","61,325","55,258","9,108","5,964","12,020","6,499","2,671","12,907","6,089","15,072","18,996"
65,NTA2010,Manhattanville,MN06,Manhattan,"23,666","10,763","12,903","4,308","2,610",33.2,"13,381","10,285","2,357","6,435",0.0,944,14.0,11,524,"1,752",984,751,"1,019","1,289",855,664,550,267,110,"30,871","44,966","15,681","2,696","2,040","3,504","2,137",605,"2,602","2,097","4,736","4,699"
66,NTA2010,Marble Hill-Inwood,MN01,Manhattan,"52,681","25,206","27,475","11,190","6,189",35.2,"38,689","13,992","8,367","3,956",1.0,866,29.0,121,652,"2,202","1,396","3,072","2,061","2,109","2,739","2,617","1,752",571,538,"40,278","57,340","35,991","6,038","3,812","7,792","5,832","2,003","6,128","4,386","9,850","10,514"
67,NTA2010,Midtown-Midtown South,MN17,Manhattan,"27,811","13,456","14,355","1,966","4,193",35.1,"2,307","25,504","17,344","1,148",75.0,"6,029",26.0,209,673,"1,458",723,908,582,"1,019","1,156","1,107","2,303","1,529","4,722","116,456","181,291","21,880",487,402,"1,657","1,741",464,"8,285","8,844",889,"17,129"
68,NTA2010,Morningside Heights,MN09,Manhattan,"53,707","23,985","29,722","6,898","6,779",29.6,"11,803","41,904","25,978","5,965",96.0,"8,025",27.0,604,"1,209","3,165","1,179","1,734","1,344","1,041","2,292","1,936","2,248","1,420","2,960","63,563","109,444","33,214","1,708","1,651","4,098","2,893","1,062","8,978","12,824","3,359","21,802"
69,NTA2010,Murray Hill-Kips Bay,MN20,Manhattan,"47,774","22,112","25,662","4,582","7,071",34.2,"5,728","42,046","29,280","1,996",23.0,"9,145",0.0,186,"1,416","1,662","1,050","1,233","1,143","2,056","3,657","2,691","4,395","2,917","5,255","95,701","134,337","38,371",980,"1,050","3,003","3,624","1,382","16,217","12,115","2,030","28,332"
70,NTA2010,park-cemetery-etc-Manhattan,MN99,Manhattan,"1,765","1,549",216,6,166,50.9,358,"1,407",386,903,14.0,51,31.0,10,12,0,0,0,0,0,0,0,0,0,0,,,"1,677",162,709,477,191,35,71,32,871,103
71,NTA2010,SoHo-TriBeCa-Civic Center-Little Italy,MN24,Manhattan,"42,979","21,369","21,610","6,582","4,964",36.1,"2,839","40,140","28,050","1,023",43.0,"9,281",0.0,125,"1,618","1,175",554,"1,266",733,"1,223","1,918","1,506","2,739","1,588","6,998","121,638","251,546","32,360","1,771",971,"2,471","2,240",761,"13,525","10,621","2,742","24,146"
72,NTA2010,Stuyvesant Town-Cooper Village,MN50,Manhattan,"21,462","8,570","12,892","2,220","3,712",35.4,"1,778","19,684","15,874",728,0.0,"2,456",0.0,66,560,759,431,284,393,855,"1,003","1,705","2,197","1,073","1,780","97,212","115,504","16,285",36,205,761,"1,436",543,"6,358","6,946",241,"13,304"
73,NTA2010,Turtle Bay-East Midtown,MN19,Manhattan,"49,628","22,825","26,803","4,199","11,385",42.3,"3,207","46,421","36,919",917,45.0,"7,568",6.0,133,833,"1,284",490,"1,395",865,"1,987","3,250","3,076","4,930","3,174","8,540","119,688","202,545","42,565",286,542,"2,065","3,829","1,144","18,300","16,399",828,"34,699"
74,NTA2010,Upper East Side-Carnegie Hill,MN40,Manhattan,"58,593","25,816","32,777","10,017","16,305",47.9,"4,130","54,463","49,005",602,13.0,"3,598",0.0,148,"1,097","1,231",317,961,"1,072","1,182","2,549","2,872","3,910","2,877","11,883","155,786","302,939","46,382",315,499,"2,387","3,046",943,"17,099","22,093",814,"39,192"
