NTA,HasGarden,GardenCounts_MMscaled,Gender_Female,Age_Over65,Unemployed,Race_Hisp,Race_White,Race_Black,Race_Asian,Race_Other,Income_Low,Income_Mid,Income_High,Edu_Other,Edu_Bachelor,Edu_GradProf,Crime_Felonies_unscaled,Crime_Misdemeanor_unscaled,Crime_Violation_unscaled,Crime_Total_unscaled
Lincoln Square,0.0,0.0,0.6652725101016923,0.4910047372227738,0.22880628259592725,0.08624459427160058,0.758768582324091,0.03712622063414921,0.167963036090808,0.1035239674389966,0.14471323621981197,0.2078573909546354,0.8838465565369844,0.053534710567658655,0.648717589192137,1.0000000000000002,0.013852795765854919,0.01686283369252641,0.022814864975677373,0.016480144994967645
Lower East Side,1.0,0.7222222222222222,0.694993757120355,0.4892966003998318,0.41313569533479844,0.43266904463196765,0.2286832631081259,0.12078839617566058,0.34040118884591264,0.13392735053181876,0.747679727544731,0.12307192273892242,0.2510242802256496,0.6500505893524168,0.4557575078452273,0.19266955656582238,0.01795714936342002,0.02188272654079899,0.03719559741935287,0.022097572261655325
Manhattanville,0.0,0.0,0.6854384987129847,0.2855465664409417,0.3973684355741684,0.6318924658303471,0.10136939407547246,0.2999391229763053,0.05567649555914486,0.09462036381669735,0.8516531328176202,0.16848324806327897,0.11936995023675043,0.7071186421611818,0.29001744852476835,0.242375037783242,0.027246019058804465,0.036068161451486974,0.046457289120863915,0.03427938201643441
Marble Hill-Inwood,1.0,0.05555555555555555,0.5648156439379082,0.3067402781193992,0.5617117546360033,0.8303100605643844,0.1641230488534735,0.08216081638887368,0.022587626303023165,0.062172547723628305,0.6508348465485656,0.5930216882244667,0.18138094237554692,0.7168657504902388,0.3006304324746108,0.21731817994202585,0.014535163224509448,0.013457845756102345,0.01668286420227877,0.014101183754262711
Midtown-Midtown South,0.0,0.0,0.5374451057522514,0.40477889601398537,0.23849506373406645,0.06542443594661926,0.6565936782950897,0.04474435701740581,0.3052853195463628,0.1441697157134165,0.25273606975835716,0.0,0.8427925621963408,0.0819323132851493,0.8112293565015445,0.8135783262543561,0.18009076242670247,0.15430357174008003,0.11313094925466047,0.15851050925294752
Morningside Heights,1.0,0.08333333333333333,0.7272009860129272,0.33248538681103307,0.3121343311201861,0.2260615885061242,0.5083277587215868,0.12196429665318932,0.21023320730184564,0.1470319064162727,0.4554233648395254,0.32003144349336954,0.4992482911657149,0.24554088641632302,0.545754630081973,0.7753486489184924,0.015597991733511217,0.01565493702813966,0.022806062547496418,0.016313224862336356
Murray Hill-Kips Bay,0.0,0.0,0.6443850998292087,0.39665499243011954,0.1808662815365272,0.1088027591504517,0.6452014501662966,0.0452991796469399,0.2694975003528322,0.13873910527236058,0.21044629262589415,0.4286538280007489,0.7285138214042617,0.13949684216190747,0.9189901570250173,0.6267402532238882,0.016788915002919735,0.012730110872685624,0.0173514331732962,0.014441991415671112
SoHo-TriBeCa-Civic Center-Little Italy,0.0,0.0,0.4693883515819759,0.3009015529429925,0.19261451991598721,0.04558483382437659,0.6873257269985159,0.025406655702533896,0.3040971399047501,0.1694971020808834,0.17633083438821012,0.12233280153813975,0.8810961809213733,0.12940743089031206,0.9075168392463019,0.6530973550783852,0.045048984346524205,0.05286083763219384,0.042410372925304377,0.04941891179031773
Stuyvesant Town-Cooper Village,0.0,0.0,0.9680640775069604,0.47013161672586223,0.12020566286999677,0.06529681745491431,0.7794900533306166,0.03660242424255701,0.1608648654583147,0.1189710438217495,0.1889041085465054,0.49359199614066374,0.7278852076198966,0.0378288354514231,0.84005419498282,0.8607204490375875,0.0028171336964103013,0.001781873742308533,0.003083425150882272,0.002230127558385967
Turtle Bay-East Midtown,0.0,0.0,0.6592817124266097,0.6363909369795623,0.1372556615919498,0.04390026560372302,0.7840267109048027,0.019514659042081824,0.2145689240092869,0.08358557005092096,0.11111882119139865,0.3171950625628196,0.8798377643234124,0.040090262335295224,0.9368613738058441,0.7735902040894529,0.019879966597336946,0.01594661309848241,0.019346726019292514,0.017503616839024735
