ntaname,FELONY,MISDEMEANOR,VIOLATION,TOTAL_CRIME,Population,GardenCounts,FELONY_norm,MISDEMEANOR_norm,VIOLATION_norm,TOTAL_CRIME_norm
Old Town-Dongan Hills-South Beach,527.0,1150.0,494.0,2171.0,24927.0,0.0,0.021141733862879607,0.04613471336302002,0.019817868175071206,0.08709431540097083
Ozone Park,1203.0,1598.0,410.0,3211.0,23415.0,0.0,0.05137732222934017,0.06824685030963058,0.01751014307068119,0.13713431560965192
Park Slope-Gowanus,3001.0,5172.0,1528.0,9701.0,73881.0,11.0,0.040619374399371966,0.07000446664230316,0.02068190739161625,0.13130574843329137
Parkchester,829.0,2006.0,322.0,3157.0,30826.0,1.0,0.0268928826315448,0.06507493674171154,0.010445727632518005,0.10241354700577435
Pelham Bay-Country Club-City Island,662.0,1370.0,545.0,2577.0,26172.0,0.0,0.02529420755005349,0.05234601864588109,0.020823781140149777,0.09846400733608436
Pelham Parkway,1337.0,3147.0,562.0,5046.0,29947.0,0.0,0.044645540454803484,0.10508565131732728,0.01876648746118142,0.1684976792333122
Pomonok-Flushing Heights-Hillcrest,1251.0,2132.0,682.0,4065.0,36416.0,0.0,0.0343530316344464,0.058545694200351495,0.018728031634446397,0.11162675746924429
Port Richmond,1304.0,2711.0,922.0,4937.0,19141.0,0.0,0.06812601222506662,0.141633143513923,0.0481688522020793,0.2579280079410689
Prospect Heights,1010.0,1642.0,413.0,3065.0,20493.0,4.0,0.04928512174888987,0.08012492070463086,0.020153223051773778,0.1495632655052945
Prospect Lefferts Gardens-Wingate,5380.0,8864.0,2589.0,16833.0,69363.0,3.0,0.07756296584634459,0.12779147384052017,0.0373253752000346,0.24267981488689935
Queens Village,2543.0,3071.0,1058.0,6672.0,54732.0,0.0,0.04646276401373968,0.056109771248995105,0.01933055616458379,0.12190309142731857
Queensboro Hill,573.0,634.0,184.0,1391.0,21460.0,1.0,0.026700838769804287,0.029543336439888164,0.008574091332712022,0.06481826654240447
Queensbridge-Ravenswood-Long Island City,1885.0,3278.0,1130.0,6293.0,18927.0,0.0,0.099593173772917,0.17319173667247847,0.05970306968880435,0.33248798013419983
Rego Park,893.0,3132.0,347.0,4372.0,28106.0,1.0,0.03177257525083612,0.1114352807229773,0.0123461182665623,0.15555397424037573
Richmond Hill,4124.0,6527.0,1994.0,12645.0,68275.0,0.0,0.06040278286341999,0.0955986818015379,0.029205419260344197,0.18520688392530207
Ridgewood,3506.0,6428.0,1795.0,11729.0,72964.0,0.0,0.048051093690038925,0.08809824022805768,0.024601173181294886,0.16075050709939148
Rikers Island,3084.0,2092.0,19.0,5195.0,7503.0,0.0,0.4110355857656937,0.27882180461148875,0.002532320405171265,0.6923897107823537
Rosedale,1211.0,1327.0,543.0,3081.0,27462.0,0.0,0.04409729808462603,0.04832131672857039,0.019772776928118855,0.11219139174131527
Rossville-Woodrow,320.0,1096.0,322.0,1738.0,21397.0,0.0,0.014955367574893677,0.051222133944010845,0.015048838622236762,0.08122634014114129
Rugby-Remsen Village,4049.0,5719.0,2177.0,11945.0,55951.0,1.0,0.07236689245947346,0.10221443763292881,0.03890904541473789,0.21349037550714017
Schuylerville-Throgs Neck-Edgewater Park,1545.0,4201.0,1311.0,7057.0,47580.0,0.0,0.032471626733921816,0.08829340058848256,0.02755359394703657,0.14831862126944095
